year_month,year,month,month_name,mode,line_id,line,total_ridership,avg_daily_ridership,days_observed
2022-02,2022,2,Feb,LRT,KJ,LRT Kelana Jaya,2642564,94377,28
2022-02,2022,2,Feb,MRT,KGL,MRT Kajang,2000682,71453,28
2022-02,2022,2,Feb,Monorail,MR,KL Monorail,463079,16539,28
2022-03,2022,3,Mar,LRT,AG/PH,LRT Ampang/Sri Petaling,2693615,86891,31
2022-03,2022,3,Mar,LRT,KJ,LRT Kelana Jaya,3328621,107375,31
2022-03,2022,3,Mar,MRT,KGL,MRT Kajang,2497966,80580,31
2022-03,2022,3,Mar,Monorail,MR,KL Monorail,563548,18179,31
2022-04,2022,4,Apr,LRT,AG/PH,LRT Ampang/Sri Petaling,3228674,107622,30
2022-04,2022,4,Apr,LRT,KJ,LRT Kelana Jaya,3819735,127324,30
2022-04,2022,4,Apr,MRT,KGL,MRT Kajang,2853546,95118,30
2022-04,2022,4,Apr,Monorail,MR,KL Monorail,659124,21971,30
2022-05,2022,5,May,LRT,AG/PH,LRT Ampang/Sri Petaling,3339042,107711,31
2022-05,2022,5,May,LRT,KJ,LRT Kelana Jaya,4335519,139855,31
2022-05,2022,5,May,MRT,KGL,MRT Kajang,3375471,108886,31
2022-05,2022,5,May,Monorail,MR,KL Monorail,783838,25285,31
2022-06,2022,6,Jun,LRT,AG/PH,LRT Ampang/Sri Petaling,4344595,144820,30
2022-06,2022,6,Jun,LRT,KJ,LRT Kelana Jaya,5426364,180879,30
2022-06,2022,6,Jun,MRT,KGL,MRT Kajang,4441552,148052,30
2022-06,2022,6,Jun,MRT,PYL,MRT Putrajaya,369564,24638,15
2022-06,2022,6,Jun,Monorail,MR,KL Monorail,991170,33039,30
2022-07,2022,7,Jul,LRT,AG/PH,LRT Ampang/Sri Petaling,4266733,137637,31
2022-07,2022,7,Jul,LRT,KJ,LRT Kelana Jaya,5360964,172934,31
2022-07,2022,7,Jul,MRT,KGL,MRT Kajang,4666497,150532,31
2022-07,2022,7,Jul,MRT,PYL,MRT Putrajaya,688844,22221,31
2022-07,2022,7,Jul,Monorail,MR,KL Monorail,1059131,34166,31
2022-08,2022,8,Aug,LRT,AG/PH,LRT Ampang/Sri Petaling,4293066,138486,31
