stop_id,station_name,stop_name,stop_lat,stop_lon,category,route_id,route_short_name,route_long_name,route_color_hex,isOKU,is_interchange_name,status
KG16,Pasar Seni,PASAR SENI,3.142293265,101.6955642,,MRT,,,,True,True,valid
KG17,Merdeka,MERDEKA,3.141969,101.70205,,MRT,,,,True,False,valid
KG18A,Bukit Bintang ,BUKIT BINTANG ,3.146503,101.710947,,MRT,,,,True,True,valid
KG20,Tun Razak Exchange,TUN RAZAK EXCHANGE,3.142403,101.720156,,MRT,,,,True,True,valid
KG21,Cochrane,COCHRANE,3.132829,101.722962,,MRT,,,,True,False,valid
KG22,Maluri,MALURI,3.123623,101.727809,,MRT,,,,True,True,valid
KG23,Taman Pertama,TAMAN PERTAMA,3.112547,101.729371,,MRT,,,,True,False,valid
KG24,Taman Midah,TAMAN MIDAH,3.104505,101.732186,,MRT,,,,True,False,valid
KG25,Taman Mutiara,TAMAN MUTIARA,3.090989,101.740453,,MRT,,,,True,False,valid
KG26,Taman Connaught,TAMAN CONNAUGHT,3.079172,101.74522,,MRT,,,,True,False,valid
KG27,Taman Suntex,TAMAN SUNTEX,3.071578,101.763552,,MRT,,,,True,False,valid
KG28,Sri Raya,SRI RAYA,3.062273,101.772899,,MRT,,,,True,False,valid
KG29,Bandar Tun Hussein Onn,BANDAR TUN HUSSEIN ONN,3.048223,101.775109,,MRT,,,,True,False,valid
KG30,Batu 11 Cheras,BATU 11 CHERAS,3.041339,101.773383,,MRT,,,,True,False,valid
KG31,Bukit Dukung,BUKIT DUKUNG,3.026413,101.771072,,MRT,,,,True,False,valid
KG33,Sungai Jernih,SUNGAI JERNIH,3.000948,101.783857,,MRT,,,,True,False,valid
KG34,Stadium Kajang,STADIUM KAJANG,2.994514,101.786338,,MRT,,,,True,False,valid
KG35,Kajang,KAJANG,2.982778,101.790278,,MRT,,,,True,False,valid
PY01,Kwasa Damansara,KWASA DAMANSARA,3.1763324,101.5721456,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,True,valid
PY03,Kampung Selamat,KAMPUNG SELAMAT,3.197266,101.578499,MRT,PYL,PYL,MRT Putrajaya Line,#FFCD00,True,False,valid
